category,marque,description1,description2,prix,image
dentifrice,SIGADENT,100ML Aloe vera, ,"6,990",https://www.geantdrive.tn/tunis-city/950727-home_default/dentifrice.jpg
dentifrice,SIGADENT,100ML Black charbon, ,"7,750",https://www.geantdrive.tn/tunis-city/950722-home_default/dentifrice.jpg
dentifrice,SIGADENT,130ML Fresh white, ,"7,750",https://www.geantdrive.tn/tunis-city/950723-home_default/dentifrice.jpg
dentifrice,SIGADENT,130ML Fresh blue, ,"7,750",https://www.geantdrive.tn/tunis-city/950724-home_default/dentifrice.jpg
dentifrice,SIGADENT,100ML Diamond smile..., ,"8,490",https://www.geantdrive.tn/tunis-city/950732-home_default/dentifrice.jpg
dentifrice,COLGATE,75ML Huile de citron..., ,"8,990",https://www.geantdrive.tn/tunis-city/1241096-home_default/dentifrice.jpg
dentifrice,COLGATE,75ML Charbon activé et..., ,"8,990",https://www.geantdrive.tn/tunis-city/1241100-home_default/dentifrice.jpg
dentifrice,SIGNAL,75ML Coco blancheur..., ,"8,990",https://www.geantdrive.tn/tunis-city/1159138-home_default/dentifrice.jpg
dentifrice,SIGNAL,75ML Charbon blancheur..., ,"8,990",https://www.geantdrive.tn/tunis-city/1159142-home_default/dentifrice.jpg
dentifrice,SIGNA,75ML Integral 8 baking..., ,"8,990",https://www.geantdrive.tn/tunis-city/1287391-home_default/dentifrice.jpg
dentifrice,COLGATE,75ML Habba sauda Natural, ,"8,990",https://www.geantdrive.tn/tunis-city/1290760-home_default/dentifrice.jpg
dentifrice,COLGATE,75ML, ,"9,290",https://www.geantdrive.tn/tunis-city/1191603-home_default/dentifrice.jpg
dentifrice,COLGATE,75ML, ,"9,290",https://www.geantdrive.tn/tunis-city/1186692-home_default/dentifrice.jpg
dentifrice,AQUAFRESH,125ML, ,"9,490",https://www.geantdrive.tn/tunis-city/1144934-home_default/dentifrice.jpg
dentifrice,SIGNAL,75ML, ,"10,100",https://www.geantdrive.tn/tunis-city/1200359-home_default/dentifrice.jpg
dentifrice,COLGATE,75ML Optic white-Charcoal, ,"12,690",https://www.geantdrive.tn/tunis-city/1150967-home_default/dentifrice.jpg
dentifrice,COLGATE,75ML Optic..., ,"12,690",https://www.geantdrive.tn/tunis-city/1154075-home_default/dentifrice.jpg
dentifrice,SENSODYNE,75ML, ,"13,290",https://www.geantdrive.tn/tunis-city/1207033-home_default/dentifrice.jpg
dentifrice,SENSODYNE,75ML, ,"13,290",https://www.geantdrive.tn/tunis-city/1207030-home_default/dentifrice.jpg
dentifrice,SENSODINE,75ML Action sensibilité, ,"13,290",https://www.geantdrive.tn/tunis-city/1155283-home_default/dentifrice.jpg
dentifrice,SENSODYNE,75ML Complet, ,"13,290",https://www.geantdrive.tn/tunis-city/1159477-home_default/dentifrice.jpg
dentifrice,SENSODYNE,75ML Fraîcheur, ,"13,290",https://www.geantdrive.tn/tunis-city/1160700-home_default/dentifrice.jpg
dentifrice,SIGNAL,75ML White now-Gold, ,"13,890",https://www.geantdrive.tn/tunis-city/1160004-home_default/dentifrice.jpg
dentifrice,SENSODYNE,100ML, ,"13,990",https://www.geantdrive.tn/tunis-city/1141619-home_default/dentifrice.jpg
dentifrice,COLGATE,75ML Anti-tabac Optic..., ,"13,990",https://www.geantdrive.tn/tunis-city/950713-home_default/dentifrice.jpg
dentifrice,SIGNAL,75ML White now-Forever, ,"16,290",https://www.geantdrive.tn/tunis-city/1160002-home_default/dentifrice.jpg
